cpus=12
 stress-ng-matri-110469 [001] 70738.778874: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.782930: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.786889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.790888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.794891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.798898: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.802896: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.806890: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.810885: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.814894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.818887: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.818944: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.822891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.826894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.830888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.834889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.838893: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.842897: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.846890: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.850889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.854891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.858894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
